0, 56
0, 56
0, 56
0, 56
0, 56
0, 56
0, 56
0, 56
0, 56
0, 56
0, 56
0, 56
0, 56
0, 56
0, 56
2, 57
7, 58
999, 82
1804, 87
2860, 112
4120, 120
5526, 145
7085, 172
8996, 200
11060, 229
13680, 278
17151, 333
22230, 396
30030, 525
46491, 673
108389, 1054
287659, 2145
467636, 3241
647430, 4317
826605, 5663
1006605, 6138
1186555, 6765
1366605, 7443
1546080, 8517
1726005, 8974
1906355, 9599
2086480, 10257
2266055, 11167
2446205, 11624
2626455, 12248
2806655, 12908
2986355, 13939
3166705, 14412
3347005, 15022
3527355, 15682
3707155, 16677
3887679, 17134
4067755, 17762
4248305, 18420
4428105, 19363
4608802, 19823
4789602, 20434
4970179, 21113
5147161, 21958
5327976, 22450
5508596, 23079
5689410, 23740
5869940, 24761
6051065, 25237
6232140, 25868
6412915, 26532
6593690, 27474
6774940, 27966
6956390, 28612
7137640, 29259
7318440, 30153
7499990, 30666
7681340, 31316
7862890, 31964
8041367, 32873
8223000, 33385
8404550, 34031
8585953, 34695
8767234, 35605
8948913, 36134
9130463, 36747
9312163, 37432
9492661, 38302
9674430, 38833
9856265, 39482
10038020, 40147
10216712, 41015
10398393, 41547
10580175, 42178
10762344, 42859
10940714, 43632
11122850, 44197
11304929, 44831
11487065, 45519
11668574, 46456
11850724, 47004
12033024, 47652
12214824, 48708
12396153, 49125
12578351, 49674
12760749, 50325
12942670, 51374
13123642, 51889
13305967, 52458
13488592, 53109
13669571, 54159
13852571, 54563
14035133, 55113
14217737, 55780
14399013, 56870
14582564, 57354
14765209, 57943
14947794, 58575
15129831, 59654
15313431, 60093
15496231, 60676
15679131, 61329
15861605, 62422
16045205, 62802
16228131, 63406
16411081, 64057
16593481, 65124
16777231, 65564
16960531, 66184
17143831, 66854
17326331, 67814
17510081, 68248
17693331, 68883
17876581, 69538
18059406, 70592
18242806, 71044
18426331, 71648
18609681, 72321
18792704, 73282
18976381, 73737
19160031, 74390
19343431, 75047
19526681, 76049
19710131, 76536
19893981, 77160
20077481, 77832
20259843, 78737
20443768, 79247
20627684, 79881
20811424, 80555
20994675, 81488
21178525, 82026
21362375, 82667
21546575, 83341
21726826, 84192
21910901, 84729
22094841, 85385
22279007, 86375
22463028, 86957
22647133, 87516
22831563, 88173
23014757, 89231
23198788, 89707
23383025, 90280
23567295, 90940
23749501, 91989
23933963, 92425
24118293, 93032
24302745, 93691
24483980, 94735
24669840, 95191
24854439, 95785
25039239, 96461
25220598, 97486
25406111, 97926
25590862, 98538
25775793, 99196
25960010, 100258
26146086, 100800
26330986, 101411
26516060, 102087
26700336, 102837
26885336, 103309
27070486, 103938
27255586, 104636
27439412, 105708
27624756, 106216
27809963, 106864
27995089, 107539
28176663, 108292
28361885, 108837
28547396, 109482
28732635, 110176
28917177, 111171
29102627, 111733
29287927, 112394
29473127, 113438
29656209, 113803
29841768, 114382
30027289, 115047
30212197, 116163
30395648, 116669
30581642, 117278
30767266, 117942
30948878, 118981
31136677, 119308
31322499, 119921
31508501, 120602
31693531, 121755
31880531, 122218
32066831, 122850
32252813, 123533
32437668, 124521
32624964, 125004
32811113, 125652
32997415, 126320
33181645, 127277
33368345, 127793
33554578, 128424
33740948, 129122
33926388, 129895
34112938, 130427
34299388, 131077
34485738, 131784
34670841, 132783
34857337, 133365
35044166, 134018
35229457, 135066
35416799, 135430
35603485, 136014
35790390, 136677
35976374, 137815
36163052, 138332
36350444, 138930
36537200, 139614
36722754, 140557
36911196, 140975
37098349, 141606
37285318, 142292
37468306, 143385
37657020, 143901
37844341, 144541
38031371, 145225
38216337, 146024
38404081, 146564
38591692, 147211
38779361, 147883
38964986, 148914
39152511, 149486
39340199, 150143
39528085, 151257
39716085, 151568
39903616, 152155
40091472, 152827
40278438, 153942
40467360, 154490
40655662, 155094
40843376, 155786
41025513, 156668
41215638, 157126
41403865, 157761
41591805, 158451
41775658, 159561
41965417, 160053
42153884, 160693
42342360, 161400
42525668, 162197
42714470, 162717
42903071, 163376
43091788, 164065
43274746, 165052
43463172, 165644
43651949, 166302
43839053, 167367
44028748, 167879
44217410, 168487
44371212, 168996
